,text,class
1866,The Algorithm Sequential Access Method: An Alternative to Index Sequential ,cacm
4958,"design and test of mixed-flow impellers, viii - comparison of experimental results for three impellers with shroud redesigned by rapid approximate method . design and test of mixed-flow impellers, viii - comparison of experimental results for three impellers with shroud redesigned by rapid approximate method . three centrifugal impellers with parabolic, circular, and skewed-parabolic blading were modified by a recently developed design procedure  to reduce the velocity gradients along the hub from inlet to outlet . all original dimensions except the shroud contours were retained . experimental investigation showed that the modified impellers had better performance characteristics than the original impellers at all speeds investigated, the greatest gains occurring at speeds of 1300 feet per second and higher . these large gains probably resulted primarily from more favorable velocity gradients and from designing these impellers further away from the condition necessary for eddy formation . the modified impellers were thus able to operate over a wider range of weight flows at high speeds . the modified impellers were investigated over a range of equivalent speeds of 900 to 1500 feet per second and flow rates from maximum to the  point of incipient surge . at 1300 feet per second, the peak pressure ratio and maximum adiabatic temperature-rise efficiency for the parabolic-bladed impeller were 3.07 and 0.825, respectively . for the same conditions, the circular-bladed impeller and the skewed-parabolic-bladed  impeller had pressure ratios of 3.13 and 3.15 and efficiencies of 0.737  and 0.805, respectively . of the three, the parabolic-bladed impeller had the highest maximum efficiencies /0.854 to 0.800/ and the best weight-flow range over the speed range tested . on the basis of the parameters investigated, it appears that parabolic blading is superior to circular blading . the experimental results indicate that the design method of naca tn 3399 is a reliable method for use in designing centrifugal impellers . ",cran
6723,"disorders of communication in young children. the normal development of spoken language is outlined. the causation, differential diagnosis, individual assessment and management of developmental disorders of communication in young children are briefly discussed. ",med
3683,"Information Network Prospects in the United States         Unmistakable signs are pointing the way toward the creation sometime soon of a national information network in the United States. The concept of a national network implies the interconnection of existing information systems and libraries through communications. Certainly one of the great strengths of this nation is the great array of intellectual, scholarly, and research resources to be found in its libraries and information centers.  Without integration and close cooperation, however, these resources will remain a series of separate, insulated institutions. But if maximum communication can be established among them, this array can be converted into a national resource of immense value to citizens throughout the country. ",cisi
526,Crout with Pivoting II (Algorithm 43) ,cacm
1477,A Note on When To Chain Overflow Items Within a Direct-Access Table ,cacm
2937,A Note on Subexpression Ordering in the Evaluation of Arithmetic Expressions ,cacm
1382,"Dynamic Space-Sharing in Computer Systems A formalization of relationships between space-shading program behavior, and processor efficiency in computer systems is presented. Concepts of value and cost of space allocation per task are defined and then value and cost are combined to develop a single parameter termed value per unit cost. The intent is to illustrate a possible analytic approach to the investigation of the problems of space-sharing and to demonstrate the method on sample problems. ",cacm
379,Sorting on a Mesh-Connected Parallel Computer Two algorithms are presented for sorting n^2 elements on an n X n mesh-connected processor array that require O(n) routing and comparison steps.  The best previous algorithm takes time O(n log n). The algorithms of this paper are shown to be optimal in time within small constant factors. Extensions to higher-dimensional arrays are also given. ,cacm
2125,"A Policy-Driven Scheduler for a Time-Sharing System The service received by a process from a time-sharing operating system can be characterized by a resource count SUM{w[i]R[ij]} where R[ij] is the number of units of service received by process i from resource i and w[i] is the cost per unit of the service. Each class of users can be characterized by a policy function which specifies the amount of service a user who belongs to this class should receive as a function of time. Priority changes dynamically as a function of the difference between the service promised to the user by the policy function and the service he actually receives. A scheduling and swapping algorithm which keeps the resource count of each process above its policy function will provide the specified level of service. Overhead can be reduced by avoiding swaps of process which have received at least his level of service. The algorithm has been implemented in a general purpose operating system, and it has provided significantly better service to interactive and to batch jobs than the previous scheduler. ",cacm
558,"Experiments with an Automated Instructional System for Numerical Methods A computer system was developed at Purdue University to teach portions of an undergraduate course in numerical methods. Each instructional unit or lesson is divided into three modes of instruction which allow the student to press from a computer-controlled presentation to a student-controlled investigation. The system is designed as a classroom-independent course of study, and has been used for two semesters by students in lieu of conventional classroom instruction.  Initial measures of effectiveness, student acceptance, and operational cost are the result of testing the system independent of instructor intervention.  The system is operational on a CDC 6500 with teletype terminals. ",cacm
3331,An Efficient Design for Chemical Structure Searching. I. The Screens   A method has been developed for generating efficient screens for chemical structures.. Fragments are generated by an algorithm under control of file statistics.. The fragments obtained are normalized by weighting their code patterns.. Superimposition of these codes yields the screen codes for the structures.. ,cisi
6697,"3917. plasma free fatty acid and blood sugar levels in newborn infants and their mothers simultaneous plasma free fatty acid (ffa) and blood sugar levels were determined for fasting newborn infants during the first 24 hours of life, for their cord bloods, and for their mothers at delivery. the following observations were made. in con- trol infants the mean ffa level rose about three times the cord level after birth and was accompanied by a 25% drop in the mean blood sugar level. thereafter, the mean blood sugar level remained relatively constant, but the mean ffa level varied from 2.5 to 3 times the cord level. there was no significant correlation between the length of maternal fasting prior to delivery and the infant ffa level; there was, however, a significant negative correlation between the length of maternal fasting prior to delivery and the infant blood sugar level at 24 hours of age. high ffa levels occurred in the infants of obese mothers and low levels were observed in infants with delayed respirations, in infants of preeclamptic mothers, and in infants of diabetic mothers. ",med
6015,"first-order slip effects on the laminar boundary layer over a slender body of revolution with zero pressure gradient . first-order slip effects on the laminar boundary layer over a slender body of revolution with zero pressure gradient . in reference 1, the analysis given by probstein and elliott for the zero-pressure-gradient, constant-wall-temperature, compressible, laminar boundary layer with transverse curvature was extended to first-order slip flow . this extension was based on a double asymptotic expansion in a transverse-curvature parameter and a slip parameter . the expansion in ref. 1, however, was carried out with the parameter held constant . for and a constant wall temperature, is constant and e varies with x due to the dependence of the local body radius on x . thus, for arbitrary body shapes, e will not be constant . in the present note, the analysis of ref. 1 is re-examined taking into account the variation of e . ",cran
6354,"934. laevocardia with situs inversus. a case report and a review of literature a case of levocardia, with inversion of the cham- bers of the heart and transposition of the great vessels and situs inversus, has been described. gross cyanosis and clubbing were present and were due to a veno-arteri- al shunt through a right-sided superior vena cava open- ing into the arterial atrium and passage of venous blood into the aorta through a ventricular septal defect. the case was complicated with right-sided hemiplegia and with the development of a liver abscess. a review of the literature with prognosis and possible etiology of the condition has also been made. ",med
2129,"QUIKSCRIPT-A SIMSCRIPT- Like Language for the G-20 QUIKSCRIPT is a simulation language based on SIMSCRIPT and programmed entirely in an algebraic language, 20-GATE. The QUIKSCRIPT language, its internal implementation, and major differences between QUIKSCRIPT and SIMSCRIPT are presented. This paper is not a programming guide to the language, but rather an attempt to present its flavor. A brief description of SIMSCRIPT is included, as is a sufficient description of 20-GATE to render this material understandable to the reader familiar with algebraic languages. ",cacm
6690,the localizing significance of limited simultaneous visual form     perception .                                a patient presenting with an isolated /spelling dyslexia/ and     impairment in picture interpretation (simultanagnosia) was shown by   tachistoscopic studies to have a pathological limitation of simultaneous form perception . at autopsy a localized lesion was found within the   inferior part of the left occipital lobe .                 these findings are discussed in relation to the problem of the     disorder of function underlying /agnosic alexia/ .            ,med
4753,"approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow . approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow .  the two-dimensional steady boundary-layer problem for a flat plate in a shear flow of incompressible fluid is considered . solutions for the boundary- layer thickness, skin friction, and the velocity distribution in the boundary layer are obtained by the karman-pohlhausen technique . comparison with the boundary layer of a uniform flow has also been made to show the effect of vorticity . ",cran
6616,"protein synthesis and polyribosomes in the calf lens .           a cell-free system capable of incorporating amino acid into protein  has been isolated from calf lens . polyribosomes have been shown to be  present in the ribosomal fraction and to be responsible for most of the protein-synthesizing capacity of this fraction . the polyribosomes have been examined by electron microscopy and appear to be composed of long  strands of ribonucleic acid, ranging from 7,000 a to 20,000 a, and con- taining a large number of ribosomes with an average diameter of about  140 a .                                 ",med
7078,"1848. the child's concept of death in this translation of a paper, which first appeared in 1912, it is shown, according to freud, how far a child's appreciation of being dead differs from its true signifi- cance. death means a reversible decrease in life functions, that can be interrupted at any time, like sleep. at other times it may mean a temporary separation; but always it is in man's power to change it. in this concept, the child's unconscious finds license for his sadism. cruelty to animals and death wishes against persons close to him appear, in overcompensation, as exaggerated pity for dead creatures and the belief in man's power over life and death. ",med
6581,"effects of short term administration of hysiological doses of human growth hormone in three patients with turner's syndrome h. e. sjoberg the effect of apparently physiological doses of human growth hormone was investigated in three patients with turner's syndrome in short term metabolic balance studies. the subjects presented an abnormal sex chro- mosome constitution and an increased level of sulphation factor activity in serum. two dose levels of hormone were used, and there appeared an anabolic response to both. no correlation with dose was obtained for any of the parameters used except for urinary magnesium, where the retention was greater with the higher dose. the sulphation factor activity of serum in- creased during hormone administration in the one case studied in this respect. the urinary excretion of hydroxyproline was within the normal range in the two patients studied in this respect, and was not altered by growth hormone. all patients had an increased urinary excretion of creatine which at present cannot be explained. the creatinuria diminished during growth hormone treatment. the mechanism behind the retarded growth is discussed. it is suggested that a major factor might be a defect in the center for linear growth, i.e. the epiphyses that would make these less responsive to all the factors normally stimulating the growth processes in the epiphyseal zones. ",med
4210,"A Rapid Generalized Minicomputer Text Search System Incorporating Algebraic Entry of Boolean Strategies   This paper presents a rapid and efficient generalized minicomputer text searching system.. The system has been applied to Chemical Condensates and enjoys search speeds comparable to services operating on large computer systems.. Complete Boolean algebraic search strategy expressions may be used as direct entries, and all forms of transaction are automatically processed.. Benchmark search speeds and results are presented for realistic profiles serving varied research groups in a major university chemistry department.. ",cisi
1482,Pseudoinverses and Conjugate Gradients This paper is devoted to the study of connections between pseudoinverses of matrices and conjugate gradients and conjugate direction routines. ,cacm
541,Multiple Integration (Algorithm 146) ,cacm
17,FORTRAN vs. Basic FORTRAN (A Programming Language for Information Processing on Automatic Data Processing Systems) ,cacm
5921,"the theoretical wave drag of some bodies of revolution . the theoretical wave drag of some bodies of revolution .  this report investigates the wave drag of bodies of revolution with pointed or open-nose forebodies and pointed or truncated afterbodies . the 'quasi-cylinder' and 'slender-body' theories are reviewed, a reversibility theorem is established, and the concept of the interference effect of a forebody on an afterbody is introduced .  the theories are applied to bodies whose profiles are either straight or parabolic arcs, formulae and curves being given for forebody and afterbody drag, and for the interference drag . the results of the two theories are compared and are seen to agree well in the region of geometries where both theories are applicable . ",cran
490,A Note on Virtual Memory Indexes None ,cacm
600,"Ethernet: Distributed Packet Switching for Local Computer Networks Ethernet is a branching broadcast communication system for carrying digital data packets among locally distributed computing stations. The packet transport mechanism provided by Ethernet has been used to build systems which can be viewed as either local computer networks or loosely coupled multiprocessors.  An Ethernet's shared communication facility, its Ether, is a passive broadcast medium with no central control. Coordination of access to the Ether for packet broadcasts is distributed among the contending transmitting stations using controlled statistical arbitration.  Switching of packets to their destinations on the Ether is distributed among the receiving stations using packet address recognition. Design principles and implementation are described, based on experience with an operating Ethernet of 100 nodes along a kilometer of coaxial cable. A model for estimating performance under heavy loads and a packet protocol for error controlled communication are included for completeness. ",cacm
273,Simpson's Rule Integrator (Algorithm 103) ,cacm
5512,"a systematic kernel function procedure for determining aerodynamic forces on oscillating or steady finite wings at subsonic speeds . a systematic kernel function procedure for determining aerodynamic forces on oscillating or steady finite wings at subsonic speeds . a detailed description is given of a method of approximating solutions to the integral equation that relates oscillatory or steady lift and downwash distributions on finite wings in subsonic flow . the method of solution is applicable to general plan forms with either curved or straight leading and trailing edges . moreover, it is directly applicable to control surfaces such as all-movable tails but modifications are needed to apply it to controls in general . applications of the method involve evaluations of numerous integrals that must be handled by  numerical procedures but systematic schemes of evaluations have been adopted that are well suited to the routines of automatic digital computing machines . these schemes of evaluation have been incorporated in a program for an ibm 704 electronic data processing machine . with this machine, a pressure distribution together with such quantities as section or total lift and moment coefficients or generalized forces can be determined for a given value of frequency and mach number and for several /four or five/ modes of oscillation in about 4 minutes of machine time . in the case of steady downwash conditions corresponding quantities can be obtained in about 2 minutes of machine time . in order to illustrate applications of the method, results of several calculations are presented . in these illustrations total forces and moments are compared /1/ with results of analytic procedures for a circular plan form with steady downwash conditions, /2/ with results of other theories and with experiment for a rectangular plan form of aspect  ratio 1 at a uniform angle of attack, and /3/ with some experimental results for a rectangular plan form of aspect ratio 2 undergoing pitching and flapping oscillations . also included in the illustrations are results of flutter calculations compared with experimental results for an allmovable control surface of aspect ratio 3.50 and for a cantilevered rectangular plan form of aspect ratio 5.04 . ",cran
3885,"The Marc II Format:                        A Communications Format for Bibliographic Data     The MARC (Machine-Readable-Cataloging) Pilot Project was an experiment to test the feasibility of distributing Library of Congress cataloging in machine-readable form to a variety of users. This project grew out of the conviction of many librarians that automation was becoming necessary if libraries were to keep up with the rising tide of new materials and the mounting demand for rapid information. Although there were other library procedures which stood to profit from mechanization, it was felt that devising a method of recording bibliographical information in machine-readable form was basic to the solution of other problems. ",cisi
6357,"the regulation of growth hormone secretion in the present communication we summarize our investigations on the control of secretion of hgh using radioimmunoassay for the measurement of plasma gh. the assumption, implied throughout this presentation, that changes in secretory rate are responsible for acute changes in plasma concentration of hgh appears reasonable since the fluctuations in plasma hgh concentration are often too rapid to be caused solely by alterations in hormonal degradation or excretion. for slower changes in plasma hgh concentration, however, alterations in the rate of removal of hormone from the body fluids might play a contributory role. however, there is no evidence that important changes occur in the rate of removal of hgh from the circulation except in patients who have developed antibodies to hgh following treatment with hgh. ",med
3892,State Library Policy  State library policy is the focus of this study. The approach to policy is framed in the broadest possible terms currently permitted by empirical research in the examination of governmental policy formation. A major purpose of the study is to analyze state library policy in relationship to the environment which provides the backdrop for its formation and maintenance. The authors see this ambitious effort as a pioneering thrust in library research and not as the final work on library policy. ,cisi
1157,"Weighted Increment Linear Search for Scatter Tables A new linear search for hash tables whose increment step is a function of the key being addressed is presented. Comparisons with known methods are given, in terms of efficiency and computation complexity.  In particular, the new method applies to tables of size n = 2^r. It allows full table searching, and practically eliminates primary clustering at a very low cost. ",cacm
6774,"1577. mode of action of selenium in relation to biological activity of tocopherols dietary selenium at levels below 1 ppm has a partially beneficial effect upon nutritional muscular dystrophy but is ineffective or detrimental at higher levels. the role of selenium in improving the effectiveness of vitamin e is due at least in part to the fact that dietary selenium increases the retention of the a-tocopherols, especially d-a-tocopherol. this has been shown by chemical determination of plasma tocopherols and also by tracing the activities of tritiated tocopherols and selenium75 in serum and in various fractions of serum proteins in chicks receiving these nutrients alone and in combination. se75 and h3-a-tocopherol activities followed each other very closely in the serum proteins. these studies indicated that vitamin e may be carried by a selenolipoprotein fraction associated with serum y-globulin. thus, one biological role of selenium appears to lie in a selenium-containing compound which acts as a carrier of vitamin e and which may function in absorption, retention, prevention of destruction, and perhaps transfer across cell membranes of d-a-tocopherol, thereby enhancing its biological activity in the blood and perhaps in cells throughout the body. ",med
1932,A Set of Associate Legendre Polynomials of the Second Kind (Algorithm 62) ,cacm
1454,Rough and Ready Error Estimates in Gaussian Integration of Analytic Functions ,cacm
4045,"Document Analysis and Linguistic Theory   In this presentation I shell be concerned with only one aspect of information science and its relation with linguistics: namely document analysis..   'Document analysis' is here understood in following sense: the extraction of meaning of documents - in the present case written documents.. We could define the latter without reference to the usual distinction between 'scientific literature' (the object of document analysis in information science) and other kinds of texts - historical records, myths, folklore, sacred writings, etc.).. Indeed, one of my theses in that there is little hope of understanding the kind of intellectual operations involved in the analysis of scientific documents, or questions pertaining to them other than through a study of textual analysis in general, as carried out in many disciplines - history, sociology, cultural anthropology, exegesis. etc. (Gardin, 1969).. For the purpose of this presentation, however, I shall concentrate on the handling of scientific documents in the first, narrower sense, and only refer to other categories of texts in so far as they have been submitted to analytical processes of a comparable nature.. ",cisi
5924,heat transfer by laminar flow to a rotating plate . heat transfer by laminar flow to a rotating plate .  an exact solution of the heat-transfer problem for the von karman example of the laminar flow of a viscous fluid over a rotating plate is given in dimensionless form and physically discussed . the solution is explicitly given for a constant temperature on the plate with viscous dissipation included . the numerical results are given for prandtl numbers from 0.5 to 10 . ,cran
2215,Ballistic Cam Design This paper presents a digital computer program for the rapid calculation of manufacturing data essential to the design of preproduction cams which are utilized in ballistic computers of tank fire control systems. The cam profile generated introduces the superelevation angle required by tank main armament for a particular type ammunition. ,cacm
5054,design of stiffened cylinders in axial compression . design of stiffened cylinders in axial compression .  the problem of optimum design of axially compressed cylinders stiffened by rings and stringers is discussed . particular attention is devoted to configurations suitable for large launch vehicles . consideration is given to the analytical techniques for determining strength as well as the procedures for optimization . ,cran
3744,"The Foreign-Language Problem Facing Scientists and Technologists in the United Kingdom - Report of a Recent Survey   The foreign-language barrier facing British scientists is a function of a, the amount and value of foreign scientific literature produced; b, the linguistic ability of the people wishing to read it; and c, the availability and effectiveness of translation services.. To obtain quantitative data on these points the NLL has recently conducted a survey amongst scientists and librarians in the United Kingdom and the present paper presents the more important results..   The survey has shown that the language problem is of considerable magnitude and is common to the majority of scientists and technologists.. The languages creating the most difficulty are Russian, German, and Japanese.. It has also indicated that local translation facilities are not particularly effective and that, as far as national facilities are concerned, British scientists are largely unaware of existing services which might help them to overcome their difficulties..   The results of the investigation suggest a number of lines of action which the appropriate authorities might follow.. The most important would seem to be the publishing of a international index to translations and the creation within the United Kingdom of a centralized Japanese translation service.. ",cisi
3197,Modified Romberg Quadrature (Algorithm 351 $D1)) ,cacm
1683,"On Computing The Fast Fourier Transform Cooley and Tukey have proposed a fast algorithm for computing complex Fourier transform and have shown major time savings in using it to compute large transforms on a digital computer. With n a power of two, computing time for this algorithm is proportional to n log2 n, a major improvement over other methods with computing time proportional to n^2.  In this paper, the fast Fourier transform algorithm is briefly reviewed and fast difference equation methods for accurately computing the needed trigonometric function values are given. The problem of computing a large Fourier transform on a system with virtual memory is considered, and a solution is proposed. This method has been used to compute complex Fourier transforms of size n = 2^16 on a computer with 2^15 words of core storage; this exceeds by a factor of eight the maximum radix two transform size with fixed allocation of this amount of core storage. The method has also been used to compute large mixed radix transforms. A scaling plan for computing the fast Fourier transform with fixed-point arithmetic is also given. ",cacm
3446,"Faculty Awareness and Attitudes Toward Academic Library Reference Services: A Measure of Communication   A survey of the faculties at six colleges was undertaken to measure the degree to which the libraries of those institutions were communicating with the faculty concerning the availability of various references services.. The results demonstrated that the average faculty member was aware of barely half the services actually available.. Variables of academic rank, length of teaching, and amount of library and reference use were some of the factors shown to affect faculty awareness of library service.. ",cisi
3746,"Government Publications: A Guide to Bibliographic Tools  The expansion of government at all levels - international, national, provincial or state, and local - has resulted in increasing government influence on the life of each citizen. Concomitant with this development is the proliferation of published directives, regulations, reports, technical studies, and other informational issuances in such volume that no one engaged in a business or profession, no financial tycoon, educator, researcher, farmer, housewife, welfare recipient, or unemployed person can function without some reference to government publications. Yet, in few areas of recorded human knowledge have control and bibliographic aids been so little systemized.  The present work, designed to provide the prospective user as well as the trained researcher and librarian with a guide to the maze, is a direct descendant of the Childs essay. The extent to which the mass of published material has grown is underscored by the contrasting physical size of the two publications; Childs' was a 78-page pamphlet containing approximately 400 entries whereas this book of over 400 pages cites more than 3,000 titles. ",cisi
2492,Some Thoughts on Reconciling Various Character Set Proposals ,cacm
5592,"interaction of secondary injectants and rocket exhaust for thrust vector control . interaction of secondary injectants and rocket exhaust for thrust vector control .  tests were conducted with 1300- to 1500-lb thrust solid rocket motors in order to investigate the side-force generation mechanisms associated with the injection of a secondary fluid into the expansion cone of a solid propellant rocket nozzle for thrust-vector control . the nozzles were 15 conicals with a nominal expansion ratio of . all firings were conducted in zero-flow ejectors . freon-12, water, and gascous nitrogen were used as the injectant . nozzle-wall pressure profiles, side thrust, and the nozzle-wall shock interface were recorded . the general character of the pressure disturbance was defined . the major portion of the side force was generated by the pressure disturbance downstream of the injector . the axial-thrust augmentation generated by the injectant was calculated . the effects of nozzle-expansion ratio and injector location on the side force were clearly illustrated . ",cran
2130,A Note on a Method for Generating Points Uniformly on N-Dimensional Spheres ,cacm
2541,"An Example in ""Significant-Digit"" Arithmetic* Different methods of handling the summing process for the geometric series are shown to give results indicating widely differing significances when carried out in a machine incorporating ""significant-digit"" arithmetic. ",cacm
476,Remark on Certification of Matrix Inversion Procedures ,cacm
4285,"On the Inverse Relationship of Recall and Precision  It is now ten years since some slight experimental evidence was presented which appeared to support the hypothesis that there was an inverse relationship between recall and precision. The idea of this was certainly not new; Fairthorne had more than implied it in his discussions on OBNA and ABNO systems, i.e. Only-But-Not-All (high precision) and All-But-Not- Only (high recall). However, it was one of the propositions arising from Cranfield I which met with strong opposition and was quite rightly attacked. In reply to the critical review by Swanson, I had to agree that the simple hypothesis required modification. By the following year test results coming from the experiments by Salton and from Cranfield II made further modification necessary, and the hypothesis was finally put forward to read as follows: 'Within a single system, assuming that a sequence of subsearches for a particular question is made in the logical order of expected decreasing precision, and the requirements are those stated in the question, there is an inverse relationship between recall and precision, if the results of a number of different searches are averaged. This, it will be noted, has four qualifications to the basic statement. ",cisi
1617,"The Mobile Programming System: STAGE2 STAGE2 is the second level of a bootstrap sequence which is easily implemented on any computer. It is a flexible, provided by STAGE2 are summarized, and the implementation techniques which have made it possible to have STAGE2 running on a new machine with less than one man-week of effort are discussed. The approach has been successful on over 15 machines of widely varying characteristics. ",cacm
1150,"GARGOYLE , A Language for Compiler Writing* ",cacm
646,Incomplete Beta Function Ratios (Algorithm 222) ,cacm
4900,"investigation of full scale split trailing edge wing flaps with various chords and hinge locations . investigation of full scale split trailing edge wing flaps with various chords and hinge locations .  an investigation was conducted in the n. a. c. a. full-scale wind tunnel on a small parasol monoplane equipped with three different split trailing-edge wing flaps . the object of the investigation was to determine and correlate data on the characteristics of the airplane and flaps as affected by variation in flap chord, flap deflection, and flap location along the wing chord . the chords of the flaps were 10, 20, and 30 percent of the wing chord and each flap was tested at deflections from 0 to 75 when located successively at 68, 80, and 88.8 percent of the wing chord aft of the leading edge . the investigation included force tests, pressure-distribution tests, and downwash surveys . the results give the lift, the drag, and the pitching-moment characteristics of the airplane, the flap forces and moments, the pressure distribution over the flaps and wing at one section, and the downwash characteristics of the flap and wing combinations .  an increase in flap chord or distance of the flap from the leading edge of the wing increased the lift of the airplane but had an adverse effect on the wing pitching moment . the ld ratio of the airplane decreased with increase in flap deflection or flap chord . flap normal-force coefficients were primarily a function of flap deflection and were relatively independent of flap chord, hinge-axis location, and airplane attitude . the location of the flap center of pressure in percentage of flap chord aft of the hinge axis remained practically constant irrespective of airplane attitude and of flap deflection, chord, or location . flap hinge-moment coefficients varied with a power of flap chord greater than the square so that with regard to hinge moments narrow flaps were the most efficient in producing a given increase in lift .  split trailing-edge flaps materially affected the magnitude and distribution of pressures over the entire wing profile . at low angles of attack the predominant effect of the flaps was to increase positively the lower-surface pressures ,. at high angles of attack, to increase negatively the upper-surface pressures . downwash surveys indicated that horizontal tail planes located above the wing chord line would be more effective than those below the chord in counteracting the increased diving moment of the airplane with flaps deflected . ",cran
4024,"Automatic Term Classifications and Retrieval   Recent research at the Cambridge Language Research Unit has been concerned with the application of the automatic classification techniques associated with the ""theory of clumps"" to document description obtained from the Aslib-Cranfield project, and with the use of the resulting term classifications in retrieval.. A substantial program engine has been developed which computes similarities between pairs of terms on the basis of their occurrences and co-occurrences in document descriptions, and finds classes of terms with strong similarity connections by minimizing the cohesion between a potential clump and its complement; and which retrieves using single terms and/or term classes according to specification, and calculates recall and precision ratios for sets of requests.. Serious tests with different similarity and clump definitions and with different modes of using term classes are still in progress, so on definite conclusions about the value of this kind of classification are presented.. ",cisi
2643,Generation of Random Correlated Normal Variables [G5] (Algorithm A425) ,cacm
5682,"similarity laws for aerothermoelastic testing . similarity laws for aerothermoelastic testing .  the similarity laws for aerothermoelastic testing are presented in the range . these are obtained by making nondimensional the appropriate governing equations of the individual external aerodynamic flow, heat conduction to the interior, and stress-deflection problems which make up the combined aerothermoelastic problem .  for the general aerothermoelastic model, where the model is placed in a high-stagnation-temperature wind tunnel, similitude is shown to be very difficult to achieve for a scale ratio other than unity . the primary conflict occurs between the free-stream mach number reynolds number aeroelastic parameter heat conduction parameter and thermal expansion parameter .  means of dealing with this basic conflict are presented . these include (1) looking at more specialized situations, such as the behavior of wing structures and of thin solid plate lifting surfaces, and panel flutter, where the aerothermoelastic similarity parameters assume less restrictive forms, (2) the use of /incomplete aerothermoelastic/ testing in which the pressure and/or heating rates are estimated in advance and applied artificially to the model, and (3) the use of /restricted purpose/ models investigating separately one or another facet of the complete aerothermoelastic problem .  some numerical examples of modeling for the general aerothermoelastic case as well as for the specialized situations mentioned in (1) above are given .  finally, extension of the aerothermoelastic similarity laws to higher speeds and temperatures is discussed . ",cran
5785,"an approximate theory of base pressure in two dimensional flow at supersonic speeds . an approximate theory of base pressure in two dimensional flow at supersonic speeds .  an approximate theory of the base pressure in two-dimensional flow at supersonic speeds is presented using asimplified representation of the flow and some of the findings of tollmien's work on turbulent mixing in incompressible flow . good qualitative predictions of the effects of a boundary layer, of bleed air and of boat-tailing are obtained . ",cran
3157,Report on SUBSET ALGOL 60 (IFIP) ,cacm
2238,A Serial Technique to Determine Minimum Paths ,cacm
2293,Rademacher Function $S22) (Algorithm 388) ,cacm
6008,"on an equation occurring in falkner and skan's approximate treatment of the equation of the boundary layer . on an equation occurring in falkner and skan's approximate treatment of the equation of the boundary layer .  the differential analyser has been used to evaluate solutions of the equation y''' = -yy'' + with boundary conditions y = y' = 0 at x = 0, as which occurs in falkner and skan's approximate treatment of the laminar boundary layer (see abstract 1081 (1932)) . a numerical iterative method has been used to improve the accuracy of the solutions, and the results show that the accuracy of the machine solutions is about insufficient to specify a unique solution for negative values of,. a discussion of this situation is given, and it is shown that for the application to be made of the solution the appropriate condition is that from below, and as rapidly as possible, as . the condition that from below can be satisfied only for values of greater than a limiting value whose value is approximately -0.199, and which is related to the point at which the laminar boundary layer breaks away from the boundary . ",cran
6004,"note on creep buckling of columns . note on creep buckling of columns .  a long, thin-walled cylindrical shell is loaded by a uniform external pressure . equations are developed for the time behavior of the shape of the cross section under the following conditions .. formations expressible by a power creep law,. (b) the initial and subsequent mode shape of the deviations from circularity of any cross section is two-lobed,. and (c) the shell construction is of the sandwich type, with concentric cylindrical membranes taking normal stresses and an annular core supporting shear without deformation . explicit solutions are obtained for the particular case of the cubic creep law . it is shown that the nondimensional amplitude of the cross-sectional mode shape (briefly, shape factor) will become infinite in a finite time . curves of shape factor versus time and of collapse time versus initial value of the shape factor are presented . also given are an explicit expression for and a curve of the expected variation in collapse time owing to uncontrollable deviations from a nominal initial value of the shape factor . it is shown that the expected variation is small if the nominal initial shape factor value is sufficiently large . ",cran
6209,a color test for the measurement of antibody to the non-acid-forming human mycoplasma species.   a metabolic inhibition test for the measurement of growth inhibiting antibodies to the non-acid producing human mycoplasma species is described. the test is based upon the ability of these organisms to metabolize arginine with a resultant alkaline shift in the ph of the medium. the alkaline shift is inhibited by specific antiserum. labile accessory factor(s) present in unheated guinea pig serum potentiates the inhibitory effect of antiserum. the test is sensitive and specific for the measurement of antibody to mycoplasmas in rabbit immune and human convalescent serum. ,med
6938,"2371. participation of 7s and 19s antibodies in enhancement and resistance to methylcholanthrene-induced tumours serum factors responsible for enhancement and resistance to methylcholanthrene- induced tumors in a syngeneic system in mice were studied. they were found to be part of the serum immunoglobulin system. the active components of specific anti- tumor serum were always contained in the 7s (y-2) and 19s (y-1m) fraction, while no activity was detected in the 4s fraction. in sera which in the given dose enhanced growth of the tumor graft, enhancing activity was present in both the 7s and 19s fraction of the serum and was higher in the former. in sera which in the given dose influenced the interaction of the organism with the tumor by producing resistance to the tumor graft, both fractions were again active, the activity of fraction 19s being higher than that of fraction 7s. ",med
3031,"An Algorithm for Deriving the Equations of Mathematical Physics by Symbolic Manipulation A method is described whereby a digital computer can be used to derive the equations of mathematical physics in any curvilinear coordinate system requested by the user. The effectiveness of the technique is demonstrated by using it to derive the Navier-Stokes equations of fluid motion and the continuity equation. To derive these equations by this method, the user need know only the coordinate transformation equations relating the curvilinear coordinates of interest to an orthogonal Cartesian triad. When this program is used and the coordinate transformation equations are supplied as input, the computer will derive the Navier-Stokes equations and the continuity equation. The equations obtained will be relative to the curvilinear coordinate system specified by the transformation equations used as input. In this paper the emphasis is on theoretical considerations and methodology rather than on programming details.  Results are presented for cylindrical polar and spherical polar coordinate systems. ",cacm
3999,Communication or Chaos?  Effective transfer of scientific and technical information continues to be a pressing national problem. ,cisi
