,text,class
4317,"Janimations Offers linkware animations and sparkle globes. Holiday pages include Valentine's Day, Easter, Halloween and Christmas. A family oriented site. ",Graphics
3581,"Cisco Certification in Houston The CCNA program is designed to prepare the professionals to identify, design and recommend the best Cisco solutions for small to medium-sized business. ",Education
3077,"Wikipedia: Plain text Encyclopedia article about the file format, including applications and encoding details. ",Data
3712,Microsoft Certified Professional Magazine Online Latest independent information on the MCP program. ,Education
435,"Blum, Avrim Carnegie Mellon University. Interests include machine learning, approximation algorithms, on-line algorithms and planning systems. Online publications and talks. ",Artificial
8149,Veridis Veridis is a Software Manufacturer providing commercial OpenPGP Solutions. ,Security
3258,"The gif2png Home Page Page prepared in 2003 about a program that converts files from GIF to PNG. The conversion preserves all graphic information, including transparency. ",Data
3546,"National IT Learning Centre Provides a wide range of open learning courses leading to MOUS, MCP, MCSE, MCSD Cisco and A+ certifications. Located in the United Kingdom. ",Education
8848,"Digital Image Hosting For auction images, also providing message board and digital photo services. ",Software
8121,"Penn State S2 Group General cyber security lab at the United States university. Includes current and past projects, software, publications, and events. ",Security
4580,3ware High-capacity Serial ATA (SATA) and ATA RAID storage solutions with StorSwitch architecture. ,Hardware
3284,KEYpak Provides document converters for word processing formats on a variety of platforms. ,Data
2695,Apple Xsan 64-bit cluster file system from Apple. ,Data
2268,"Silicom Ltd. Provides network communications connectivity solutions and advanced enabling technologies. Includes product specifications and profile of company based in Kfar Sava, Israel, with US headquarters in Paramus, New Jersey. (Nasdaq: SILCF) ",Consultants
2256,"BRT CAD, CAM, CAE and PLM products and services in Canada. Pro/ENGINEER Wildfire, Windchill, Mathcad, IsoDraw, Pro/TOOLMAKER and Dimension 3D Printers. ",Consultants
2832,Digital Mail Offers communication services throughout the United Kingdom that are also available for resale through an affiliate program. ,Data
7239,"Hello, World program Your first C program. ",Programming
2941,Ghostscript.com A news and community site for the Ghostscript software. ,Data
9484,"Sherston Online Produce a range of educational software for PC, Mac and Acorn computers. ",Systems
1105,Windsonline Developers of multimedia and Web based applications. ,Companies
1096,Mainframe Software Innovations Application performance improvement specialists that reduce run-time and CPU-time of application programs in an IBM mainframe environment. ,Companies
8126,"Will Docken Investigations Offers computer forensics, consulting, expert testimony, dedicated hands-on case work, and educational forensic presentations. ",Security
9331,Combee on Palm OS Development information in weblog format. ,Systems
6651,"Open Content Alliance Represents the collaborative efforts of a group of organizations from around the world. List of contributors, call to participate, FAQs, and press releases. ",Open
3980,Interactive Study Systems Offers packages of training materials for a variety of certifications. ,Education
5975,"USAT Corp. Expertise in rugged computers, durable video recording systems, and rugged wireless modems. Source for Panasonic Toughbook line. ",Mobile
996,"DGI Office Tech Systems CAD converter software (CATS and DGNLink) and translation services for data exchange between AutoCAD (DWG, DXF) and MicroStation (DGN) CAD systems. ",CAD
31,"McTear, Mike University of Ulster at Jordanstown. Dialogue modelling, natural language processing, computational linguistics, user modelling. ",Artificial
1859,"Oklahoma State University Stillwater, Oklahoma ",Computer
7708,"Robotic Gladiator A site featuring news, tutorials, and forums for robotic competition. ",Robotics
2252,"American Computer Services Networking solutions and management, remote and on-site support, web development and hosting. Located in Laguna Nigiel. ",Consultants
237,"Machine Learning Group - University of Waikato Offers WEKA, an open-source (GPL) machine learning and data mining toolkit in Java with classification, regression, clustering, and association rules. Command-line and GUI interfaces. ",Artificial
77,"Roubens, Marc Multicriteria decision aid ",Artificial
8877,p yusukekamiyamane Icons licensed under a creative commons attribution license. ,Software
1052,"Nationwide Money Services, Inc. offers an innovative single source solution for all your ATM network management needs. Provide unique, full service ATM management through innovative software solutions, proven cost effective strategies and superior service. ",Companies
1633,"ICDT 2005 The 10th International Conference on Database Theory. Edinburgh, Scotland; 5--7 January 2005. ",Computer
3604,Pass IT Cert .Com Offers braindumps for most major certifications. ,Education
2414,"SST Computing, Inc. Specializing in sales, service and support maintenance on Microsoft Windows, Novell networks and computer telephony. Based in Kennesaw, Georgia. ",Consultants
9231,"X-Ample Technology Authors of CueMaster, teleprompter for professional use. ",Systems
7161,"Mundus Vult Decipi Personal weblog of random projects and experiments, mainly hacking and cracking. ",Programming
4647,Bison Components Memory specialist that focuses on high-speed upgrades for notebooks and sun workstations. ,Hardware
1438,Accolade Systems Development outsourcing and project management services. ,Companies
1168,"Plexus Electronic manufacturing services including embedded software, PCB, RF, ASIC design, optoelectronics, contract manufacturing and engineering, and prototype manufacturing. ",Companies
5408,"Nine Mile Studio Offers design, hosting and database integration. Located in British Columbia, Canada. ",Internet
632,Chief Commercial Provides Chief Architect compatible 3D Cad symbols of commercial equipment and furnishings. Includes online catalogs and pricing. ,CAD
5095,"FamilyMoment For private family web sites. Message board, photo gallery with a capacity of 3Mb, family calendar and chat room provided. ",Internet
2084,"Echopower LLC Offers web site design and maintenance, networking, desktop support for small businesses, and computer training. ",Consultants
9364,RISC OS USB Support for the development and use of USB. ,Systems
6966,K-Meleon A browser for the Win32 platform based on the NGLayout engine. ,Open
7323,VanillaSBX VanillaSite-out-of-the-Box (SBX) is an easy to install Vanilla package for Windows computers. ,Programming
8424,"Computer Forensic Labs Inc. Offers services in computer forensics, forensic data recovery, and electronic evidence discovery. Also available for expert witness services. ",Security
3102,Leer SVG Many SVG examples. Dutch and English versions. ,Data
4654,"NEC - Presentation Products The NEC Technologies Visual Systems Division markets, sells and services the industry's broadest range of large screen presentation solutions for any resolution, display source or application. ",Hardware
6613,"Anteater A log analyser for MTA logfiles (for example sendmail). (C++) [GNU/Linux, Unix] ",Open
2309,"ENSCO, Inc A privately-held company, headquartered just outside of Washington, D.C. Provides solutions to the defense, transportation, security and aerospace industries. ",Consultants
7451,Examples Fortran 90 codes from introductory course by John Mahaffy. ,Programming
4866,Sunstar Company Reseller of used tape and disk drives and peripherals. ,Hardware
2275,"Ten Digit Consulting, Inc. Specializes in consulting, services, and support for IBM's DB2 Universal Database on Intel platforms. ",Consultants
8945,"Metaformers, Inc. Independent Functional and technical consulting services for PeopleSoft EnterpriseOne (JDEdwards OneWorld) product suites. ",Software
5767,"ESX Engineering Inc. Technology solution provider offering custom software application development, and infrastructure solutions for wireless and mobile applications. ",Mobile
9332,What is TOS? A graphical history of Atari's TOS/GEM operating system. ,Systems
4806,"TI-8x Programming Games and programs with descriptions and programming tutorials for the TI-82, TI-83, TI-85, and TI-86. ",Hardware
4361,"Punkymoods All mood drawings by the original Unkymoods creator, Marc Lutz. Used with permission. Add unique hand-drawn mood emoticons to your personal website or weblog. ",Graphics
637,"Central Canada Regional Users Group With news, software information, and a discussion forum for Unigraphics users. ",CAD
4346,"Autumn Pixels Collection of dolls, bases and pixel art. ",Graphics
4438,Peace Free peace symbol clip art for personal use and other related downloads. Peace poll. ,Graphics
3067,"RustemSoft Utilities for conversion to XML from various formats including MS Office, SQL Server, Oracle, ODBC format and text source formats. ",Data
2345,NE Key Specializing in support and drafting systems for builders and architects. ,Consultants
9156,"Dave Cooper's Composition Backdrops Hundreds of backdrop/wallpaper images of male/female stars composed with !Compo. From Jenny Agutter through to Cathrine Zeta-Jones; Richard Dean Anderson through James Stewart. Also sci-fi, cult TV and Dr Who. ",Systems
5759,"Mobilefunstuff Offers wallpaper, screensaver, printing service and photo album. ",Mobile
3049,"Southern California Cisco User Group Holds monthly meetings featuring Cisco related topics. Contains information on meetings, calendar, links and a mailing list. Located in California, United States. ",Data
228,"Dendral and Congen Developed in 1980, The DENDRAL Project dealt with analysis of molecular structure in organic chemistry. The chemical and physical properties of compounds are determined not just by their constituent atoms, but by the arrangement of these atoms as well. The CONGEN program implements the general (acyclic and cyclic) generation algorithm in a system that allows a chemist to constrain its enumeration in a variety of ways. ",Artificial
4260,TextureZ Provides a vast range of free high resolution textures. ,Graphics
1070,Kanda Software Provides custom software application development as well as information integration and publishing solutions for the web. ,Companies
136,"Lin, Fan Department of Computer Science and Technology, Tsinghua University, Maryland University, machine learning, data mining. Ph.D. student. ",Artificial
397,"Saund, Eric Intermediate level structure in vision. ",Artificial
7338,Sakic.Net Joomla! components and professional services Emir Sakic. Home of the SEF Advance component. ,Programming
2691,"htmlPlayground HTML, CSS Reference by example. Offers online HTML code editor to edit examples and experiment with the code. ",Data
2103,"G10 North American consulting group offering CAD and Autodesk training and sales for the manufacturing, building design, civil engineering and GIS markets. ",Consultants
8735,"CSS Provides implementation services for J.D. Edwards, Siebel, and other solutions. ",Software
995,"Larson Software Technology, Inc. Converters from the CGM Computer Graphics Metafile format to several other common formats and back, on Windows and Unix systems. ",CAD
6012,"Mars Guitar Tuner/Metronome Tunes acoustic and electric guitars, bass, other stringed instruments; has preset tunings, mic and line input. ",Multimedia
7672,"The Robotics Club of Yahoo! An online club open to robot hobbyists and professionals. Technical articles, tutorials, and group projects. TRCY also sponsors a Yahoo! based mailing list and weekly chats. ",Robotics
6774,Cunnan An encyclopedia for reenactors of the Middle Ages and Renaissance period with a heavy slant towards members of the Society for Creative Anachronism. ,Open
2420,"Wresinux Technology Limited Linux based customizing solutions and applications development, system integration, and technical support. Hong Kong. ",Consultants
3916,EngineWorks Computer-based training for ECDL and Sage. Can buy online. ,Education
2503,XHTML Web Design for Beginners An introductory article for those with no prior experience of HTML. Covers version 1.0 Transitional. ,Data
8227,"Privacy Cleaner Pro Erase Internet Explorer history, cookies, cache, and more to protect your privacy. ",Security
3090,"OMNeT++ OMNeT++ is an open-source, component-based simulation package built on C++ foundations. It offers a C++ simulation class library and GUI support (graphical network editing, animation). ",Data
2525,Transition Networks Designs and manufactures copper to fiber media converters for a broad range of network environments. ,Data
8579,Still Running MacTCP? 2001 Article explains why older Macs using MacTCP stopped working on the internet. ,Software
3941,"Uhas Computer Training Delivers on-site, instructor-led training for Windows, Microsoft Office Suite, Intuit QuickBooks and Quicken. Located in New Hampshire, United States. ",Education
1180,"Dunstan Thomas Provides information technology consulting, software development, managed services, and technical training. ",Companies
5978,"m-plify Development of applications for mobile bidirectional reminder, alerting and notification applications. ",Mobile
4338,Scottish Clipart A small collection of Scottish clipart. ,Graphics
5732,"Free Ringtones Tonight Provides a selection of free mp3 ringtones, wallpapers, games and videos for cell phones. ",Mobile
386,"IU Computer Science: Douglas R Hofstadter Home page, which includes contact details, black and white photograph, and departmental report narrative. ",Artificial
1196,"Microsoft Careers The company's career portal. Includes jobs categorized by products, with online profiles and resume submission. ",Companies
3507,"EnCEsecrets.com Home of the Forensic Secrets ebook, a guide for passing the EnCE computer forensic certification exam. ",Education
5154,"Rough Ride Creations Website design, search engine optimization, and marketing for small businesses, musicians, and non-profit organizations. ",Internet
4492,"eLouai Smilies A personal collection of expressive smilies drawn by artist. Also available, IM smilies for Yahoo, AOL and MSN. Site includes a smiley face generator. ",Graphics
2786,"JasPer Project (JPEG-2000 Software) An open-source initiative to provide a free reference implementation of the codec specified in the JPEG-2000 Part-1 standard (i.e., ISO/IEC 15444-1). ",Data
7321,"Squeak Everyday Weblog on many related topics, by Takashi Yamamiya. ",Programming
5663,DoOnGo Inc. Provide scalable infrastructure solutions to manage application and data delivery on wireless Internet-enabled networks. ,Mobile
2025,IS Developer Custom database design and development with Microsoft Access 97/2000 and SQL Server 7. Web development and networks. ,Consultants
4774,"2CoolTek Computer cooling accessories, heatsinks, and fans. ",Hardware
4476,dpi Glossary Authors' site promoting the understanding of digital photography and computer imaging. Offering a collection of related terminology available for sale as a pocketbook or e-book. ,Graphics
6495,"Space Groove or Encoding CDs in MP3 Format A full description of how to encode CDs to MP3 format in Unix machines is provided, including commands for ripping, normalizing and encoding songs. ",Multimedia
8562,Lou Backup Backup program for Visual C projects - can also be used for general-purpose folder backup. ,Software
8852,"EMD Leuven Offers software and services in the areas of groupware, workflow, document and knowledge management, along with the necessary infrastructure and security mechanisms. ",Software
1079,Your Tech Online Offers live technical support in real time for most any Windows-based computer. ,Companies
7325,"Jacareto Capture-and-Replay-Tool for Java applications and applets which can be used for GUI testing, with command line and GUI frontends. [Open Source, BSD] ",Programming
5064,"IEB Software Offers website and software development, CMS, promotion, and hosting. Located in Northern Ireland. ",Internet
8826,Linux From Scratch: LFS Assemble your own Linux system. Includes all software and an easy to follow guide. ,Software
6620,"NGLayout Project (Gecko) Mozilla's standards-based layout engine. Includes technical information, project history, glossary of terms, and FAQs. ",Open
9195,Sigma Seven Systems Ltd. An engineering and manufacturing company that specializes in Apple Macintosh technology. Still sells some Lisa accessories. ,Systems
7663,"Angelus Research Corp. Providers of educational robots and robot kits, industrial robots, and law enforcement robots. ",Robotics
7274,"cx_Oracle Oracle 8i interface developed by Computronix. [Open Source, BSD-like] ",Programming
6218,"GSpot Windows tool identifying codecs in container formats like AVI, MPEG and MP4. ",Multimedia
9416,"Hackerz Design Software Russian ZX Spectrum demo group. Offers downloads of their products, including demos, utilities, graphics and music. (In Russian and English) ",Systems
8927,"bpowerd Program to monitor Best Power Patriot and Patriot Plus UPSs under Linux. Uses init to inform system of power outage, is able to detect power fail and low battery conditions, and to kill inverter on shutdown. ",Software
1293,"Topmode Systems Suppliers of software services to the aviation industry, including real time embedded code, validation and verification, test rig design and build for avionic systems. ",Companies
6263,"TextAloud Converts text into voice and even to MP3. Listen to email, web pages, and documents. ",Multimedia
59,"Green, Nancy University of North Carolina at Greensboro. Intelligent multimedia presentation systems, argumentation models, automatic generation of textual summaries of graphs, interactive narrative, conversation agents, user modeling. ",Artificial
1418,"Hitachi, Ltd. Manufactures electronic and electrical equipment. ",Companies
5515,"Red Oxygen Tools to send and receive SMS messages from Outlook, Lotus Notes and Microsoft Windows, or to integrate messaging capability into other applications. ",Mobile
5755,AMCI Wireless A solution provider and system integrator for wireless data communications systems. ,Mobile
7010,"Alan Genz's homepage Multi-dimensional integration, particularly for statistical applications. ",Programming
23,"Artilect Articles and resources on artificial intelligence, physics and neuroscience research. ",Artificial
6545,"nginx A HTTP and mail proxy server licensed under a 2-clause BSD-like license. By Igor Sysoev. [Unix, Mac OS X] ",Open
8094,"LockLizard Providing digital rights management products to prevent and control viewing, copying, modifying, printing, and screen grabbing of PDF and HTML content. ",Security
7762,Robotics in Japan A list of links to robotics sites in Japan. ,Robotics
6154,"Flash Product Page Official product area with information on features, FAQ, system requirements, and links to Flash related information. ",Multimedia
2253,"Calence, Inc. Voice over ip and network integration firm located in Phoenix, Arizona. ",Consultants
578,"Advanced Designs, Inc. Die Designer 2002 software for AutoCAD, as well as related services. ",CAD
1468,"Resource and Revenue Management Leasing revenue management software to the aviation and broadcasting industry, specifically designed to increase revenues and optimize yield. ",Companies
8962,ASPTIP An application software provider packages available to the construction industry. Analysis of each vendor package. ,Software
35,"KnowledgeScape Systems Real-time optimization system learns the process dynamics and adjusts process setpoint, optimizing a single procedure or an entire enterprise. ",Artificial
9134,Artillery Duel Written to demonstrate the potential of multiplayer games over the Internet with the Commodore 64. ,Systems
4643,"Karbo's PC Hardware Guide An illustrated guide to PC hardware. Understand the basic architecture of CPUs, buses, drives, and countless other computer components. ",Hardware
6111,"Studio1011 Offer video editing, 3D modeling and animation, voice over and audio production, steaming video, web design, Flash animation, CD/DVD authoring, kiosk development and exhibit design. ",Multimedia
1690,"Katz, Shmuel The Technion - Language constructs for distributed programming (superimposition, multiparty interactions, reconciliations), tools for design and programming of distributed systems (debugging, domain archetypes), interleaving set temporal logic (including for cache consistency), self-stabilization and fault-tolerance, formal specification methods. ",Computer
1758,"Computational Complexity At the interface between mathematics and theoretical computer science. Abstracts available, subscription for full-text articles. ",Computer
4020,"Alenka's Printables Linkware web sets, templates, and printable stationery such as, gift tags, recipe cards, labels, letterhead, wish lists and shopping lists. ",Graphics
6386,True Audio Open lossless audio codec developed with the main requirements of reasonable compression level and high operation speed. ,Multimedia
6924,FOX GUI Toolkit An open source cross-platform C++ based Toolkit for GUI development. ,Open
6395,"Leadtools Offers imaging development toolkits supporting color, grayscale, multimedia, vector, document, and medical imaging for a wide range of programming applications. ",Multimedia
9447,Steve R's Classic Cartridge Page Offering sale and trade of Atari (includes Atari 400/800) cartridges and manuals. Includes a photo gallery and online arcade. ,Systems
7584,"Alpine Robotics (Team 159) Based at Poudre High School in Fort Collins, Colorado. Photos, discussion forum, and resource links. ",Robotics
9157,Bernard Veasey Large collection. ,Systems
8311,"Emsi Software GmbH aÃÂ² personal, malware scanning and removal software. Product information, support forums and downloads. [Windows] ",Security
5737,Sauromatum Free high-class themes mainly for Symbian S60 5th edition phones. ,Mobile
229,Programming by Example Programming by example (or by demonstration) is a technique for teaching the computer new behavior by demonstrating actions on concrete examples. The system records user actions and generalizes a program that can be used in new examples. ,Artificial
8934,Internationalized Domain Name Certified Registrars Provides a list of every certified registrar ordered by location. ,Software
4687,"HardOCP General computer hardware news and Overclocking page complete with information on varying degrees of cooling for overclocked video cards, CPUs, motherboards and other system hardware. ",Hardware
4159,Ultimate Textures Offers various textures for purchase. ,Graphics
7062,"Portable C Compiler Originally a 1970s compiler updated for Linux. Compiles to C99 standard. Website features mailing lists, documentation and bug tracking system. ",Programming
8285,Iomart Group plc NetIntelligence network and user activity monitoring software. ,Security
7400,Ruby/GP Genetic programming library in Ruby. ,Programming
5298,Eiffel Tower Webcams Live views of famous landmarks and several indoor webcams. ,Internet
251,Gowachin A competition on Grammatical Inference. ,Artificial
8487,Digi-Sign Bulk vendor of 128-bit certificates offering PKI and verification services. ,Security
9178,ORBiT International Backup/3000. ,Systems
3359,"Martin Dawes Systems Provides billing, revenue assurance and CRM solutions to the communications sector. Implements subscriber services for telecommunications companies. ",Data
3464,Broadband Anywhere Provider of wireless broadband and Voice over IP to metropolitan and regional areas of Australia ,Data
3127,"Expressing Simple Dublin Core in RDF/XML Explains how to encode the Dublin Core Metadata Element Set V1.1 (DCMES) in XML, provides a DTD to validate the documents and describes a method to link them from web pages. ",Data
3793,Institute for Business Continuity Training Business continuity training and certification classes. ,Education
2133,"Vermont Computing Outsourcing of networks, design, installation, implementation. Web design, training, staffing, repair and maintenance contracts. ",Consultants
84,"Papers by Lee Altenberg On-Line Research publications in mathematical population genetics, evolutionary computation, and genetic algorithms. ",Artificial
5262,Stewart's Web Design Web development and hosting. ,Internet
7522,"IU Robotics Club Based at Indiana University in Bloomington, Indiana, United States. The club was founded in 2001 and holds weekly meetings on campus. Membership is open to IU students. ",Robotics
1296,"Codelode Creative solutions for embedded software development. Includes book on embedded development, open source embedded kernel in C, a shareware math assistant, and a shareware hypertext notepad. ",Companies
7242,"Diaz, Dustin Examples and podcasts discussing various JavaScript issues and techniques from the founder of the DED|Chain JavaScript library. ",Programming
3938,"Clickfire CIW Resources Provides articles, book reviews, study notes and free practice exams for those aspiring to pass the CIW Foundations and Site Designer exams. ",Education
4784,"DV Trading A/S Computer brokers, buying and selling IBM and non-IBM equipment. ",Hardware
7553,YouTube - Spykee the Spy Robot at Digital Life Expo Demonstration video of the robot and remote control software taken at the 2007 Digital Life show. Shows each of the different kit configurations too. ,Robotics
2112,QuickLabs QuickBooks Remedies and Performance Enhancements consulting and services by Darryl Abrahms. ,Consultants
4397,"Bigfoto.com Photos 1200x800 free download for personal use, with the name of the homepage free download for commercial use. ",Graphics
7469,Happy A parser generator for Haskell. ,Programming
6678,"OpenH323Proxy Proxy software to allow h.323 applications to pass firewall and NAT. (C++) [Windows 95/98/2000, BSD, Linux] ",Open
2051,"Angara Innovations Chicago area company offers to analyze and offer business strategies, and provides software engineering, management and technology consulting, and customized e-Business solutions. ",Consultants
3634,"Novell Professional Certifications Official site providing program, resources and directory of authorized and vendor-neutral product training. ",Education
6733,NewsViking Script to collect news articles into a weekly digest. Uses MySQL or MS SQL. (Perl) ,Open
7599,"PushCorp Compliant force robotic tooling and automation equipment, specializing in surface finishing applications, and robotic machining operations. ",Robotics
4785,"Alta Technologies Offers new, used and refurbished IBM RS/6000, Hewlett Packard, Sun Microsystems and Cisco Systems equipment. ",Hardware
8520,"TCG Informatik AG Leaders in Switzerand in ICR, OCR, OMR and Electronic Forms (eForms) data capture utilizing standard as well as customized solutions. ",Software
7700,Popular Mechanics Robotics Articles discussing the latest news on robotics technology and artificial intelligence research. ,Robotics
3125,"Internet Anywhere Mobile high-speed 2-way satellite internet access for business, government and RVers. ",Data
9371,AmigaUUCP FAQ FAQs for alt.sys.amiga.uucp ,Systems
2409,"Licensed To Code, Inc. Specializes in Enterprise Application Integration using SAP, Microsoft, and Java Technologies. ",Consultants
2091,"Evron Computer Systems Corp. Located in Markham, Ontario, providing total solutions including network installation, hardware, software, support, training, cabling and internet development. ",Consultants
4963,"Unified Barcode &amp; RFID, Inc. Provider of solutions and support for data collection systems and EPC global compliance. Products include barcode scanners, barcode and RFID printers, mobile computers, and RFID tags. ",Hardware
1592,"Hollins University Computer Science Department. Roanoke, VA. ",Computer
4212,"Userbars.be Large collection of categorized and rated userbars. Discussion forum, contest, FAQ. ",Graphics
3595,"Corporate Information Solutions Custom e-learning, web-enabled, CBT, live training and technical documentation. Located in Florida, United States. ",Education
8113,"Datavic Enterprises Computer forensics and deleted data recovery company in Victoria, British Columbia, Canada. ",Security
5622,Canfone.com Provides consulting and design services to mid to large businesses. ,Mobile
4141,Pixel-Templates Offers professional html website templates for Dreamweaver and GoLive. ,Graphics
7037,"Boost Consulting Dedicated to support and development services for the Boost libraries and associated tools. The Boost libraries are a peer-reviewed, open collaborative development effort. ",Programming
6662,BSD: OpenBSD Copyright Policy License and background on Berkeley Computer Systems Research Group copyrights. ,Open
8400,Intuate Biometrics (Spain) Distributes and provides consulting services for fingerprint security identification and authentication systems in Spain. ,Security
9024,do.Oh: todo lists Provides to do list space which is then fed into a wacky poll. ,Systems
1923,Griffith University - School of Information and Communication Technology The School of Computing and Information Technology (Nathan/Logan campus) merged with the School of Information Technology (Gold Coast campus) to form the new School of Information and Communication Technology on 1 January 2005. ,Computer
6864,"BuzÃÂ© Tracker designed as a drop-in replacement of Jeskola Buzz. Site includes downloads, forum, and screenshots. [Windows] ",Open
5954,"Nokia N-Gage Handheld gaming consoles based on Series 60 platform. Includes information on games available, some free game downloads and support pages. ",Mobile
2849,"4Suite and 4Suite Server A collection of Python tools for XML processing and object management. Features a repository, a rules-based engine, XSLT, XPath, RDF-based indexing and XLink resolution. ",Data
5132,"EasySite Manager Offering web site content management software and hosting services. No special knowledge, HTML editing experience, or web developers are needed. ",Internet
9117,"Healthy Palmpilot Collection of software, doc files, calculators, and databases. ",Systems
7913,Robosavvy Discussion forum for owners and hackers of the Robo-one robot. Includes general humanoid robot programming and design topics too. ,Robotics
1343,e-Press Online Develops and markets commercial software products for small to mid-size businesses. Has retail and OEM versions. ,Companies
6819,Atviras Kodas Lietuvai Non-profit public organization that works to promote the usage of Free and Open Source software in Lithuania. ,Open
1039,Microsoft Software Forum Network Message board for discussing Microsoft operating systems and desktop software. ,Companies
8569,"Web2Printer A PHP program that gives visitors the ability to view that same page in a ""printer-friendly"" format. ",Software
7103,"Class::DBI::Sweet Provides convenient count, search, page, and cache functions and integrates these functions with Class::DBI in a convenient and efficient way. ",Programming
5649,Wiana SMS mesh gateway Send text messages for free to any bluetooth mobile connected to the meshAP network. ,Mobile
2725,"Ethernet Direct Company offers a wide selection of Industrial Ethernet switch solutions including gigabit, PoE, managed and wide temperature switches. ",Data
3465,Draac.com Building a Better Internet Features an easy to follow approach to learning HTML for use in email and webpages. A help discussion board is also included. ,Data
2239,"RJB Computers Mobile programming consulting firm, specializing in Palm, PocketPC, RIM, and voice solutions. ",Consultants
3583,"Insight Associates Computer Training Courses Instructor-led training for Microsoft, Adobe, Lotus, Macromedia, Sage and other software packages. Located in the United Kingdom. ",Education
5725,"Ozeki SMS Server The OZEKI SMS Server enables you to send, receive SMS messages automatically with a mobile phone connected to your computer. ",Mobile
8365,"HP-UX Patch Additional Information Patch Security Matrix, list of obsolete patches, patch checksums. ",Security
1710,University of Canberra School of Information Sciences and Engineering. Research focuses on human-computer communication. ,Computer
8302,"IntelliLogin Software memorizes your user name and password the first time you log into a site, and then automatically supplies them when you return. Passwords are stored with AES encryption. ",Security
6011,"StamenMedia Offers DVD authoring, enhanced CD development, color correction, video mastering and post production. Located in San Francisco, California, United States. ",Multimedia
2901,"Citifax Information Management, Ltd. Offers fax server technology integrating Microsoft, Brooktrout, and RightFax for fax servers in China and Hong Kong. ",Data
2747,Rococo Software Java/Bluetooth Developer tools and infrastructure software. ,Data
1246,Espial Internet device software firm. Company and product information. ,Companies
728,SteelAce An AutoLISP tool for designing simple dies and moulds. ,CAD
8972,KeepTrak Corporation PM scheduling and equipment breakdown logging with optional parts inventory. Uses Microsoft Access databases. Microsoft Office compatible. Free 30 day trial available with training CD. ,Software
7596,How Stuff Works - The Singing Fish Photographed autopsy of the popular singing fish novelty fad reveals its robotic-like subsystems with complete informative descriptions. ,Robotics
9328,Anddev Discussion board about the mobile platform. Offers tutorials and tips. ,Systems
7668,"Insight Racing Overview of team, and photo gallery. ",Robotics
6951,Mozilla Public License Version 1.0 Follows the Debian Free Software guidelines. ,Open
8814,"Visual Basic and Databases A tutorial introduction to using Visual Basic for database access and maintenance. Requirements, VB5 Runtime Files, a viewer for Microsoft Word documents. ",Software
1698,The Chomsky Hierarchy of Formal Grammars A brief definition of the grammars which define the Chomsky hierarchy of families of languages. ,Computer
8919,"n-Track Studio Audio and MIDI multitrack recorder for Windows XP, ME, 98, 95, NT, 2000. Record and playback an unlimited number of audio and MIDI tracks. Support for VST instruments and DirectX instruments synth plug-ins. Product overview, screenshots, FAQs, forum, and downloads. ",Software
369,ML &amp; CBR Folks A list of home pages for people in machine learning and case-based reasoning. ,Artificial
904,Delta Cad A 2D CAD software designed to be easy to use. ,CAD
8621,MIDInight Express Emulated wavetable MIDI player and quick renderer. Uses WAVmaker- and Mellosoftron-compatible instrument format. ,Software
5791,Eldev LLC Offers application development including WAP site development. ,Mobile
7048,"Julian Lombardi's Blog Collected observations and musings on and around the Croquet Project, by Duke University Assistant Vice President of Academic Services and Technology Support, Senior Research Scholar with program in Information Science and Studies. ",Programming
1753,University of North Carolina at Charlotte Department of Computer Science. ,Computer
6934,Java Open Source Software A directory of open source software focused on java. ,Open
881,"Thedra Technologies, Inc. Supplier of DNC, SPC, machine monitoring, and work instruction software for the automation of shop floor operations. ",CAD
7871,"StÃÂ¤ubli Switzerland. Features this manufacturer of industrial and cleanroom robots, high speed textile machineries, and quick release couplings. ",Robotics
1000,"HP IT Resource Center Americas/Asia-Pacific site offering online support. Includes knowledge base, patches, drivers and security mailing lists. ",Companies
6295,"Baboni Portfolio site of Simone Baboni. Includes Director experiments, menus, games and utilities, as well as work in CD, web development and book contributions. ",Multimedia
5290,"Camvista.com Live webcam views of London, Scotland, England and Ireland. Features live webcast events, net events, educational resources, and web cam listings. ",Internet
1984,"ISI'2001 International Congress on Information Science Innovations. American University in Dubai, United Arab Emirates; 20--24 March 2001. ",Computer
2060,Remote DBA Plus New England: Oracle Remote Database Administration and Monitoring service. ,Consultants
2293,"Harte Technologies Engineering services, smart-peripheral applications from concept to completion. ",Consultants
6018,Maxgrafx A multimedia designer/developer based in Holland. ,Multimedia
830,cad4theatre Distance learning courses for AutoCAD users in the theater and entertainment industries. ,CAD
5596,"Teen Buzz The original mosquito ringtone for your cell phone, this is the free ultrasonic ringtone that most adults cannot hear. ",Mobile
4027,"Cat-Tea Clips Free clip art and images for personal web page, tea themes and cat themes. ",Graphics
1678,Technical Report Archives in Computer Science (By Institution) List of 150 tech reports archives by institutions (1995). ,Computer
8890,FavLoc Saves links and images from the context menu to user-defined folders. ,Software
8326,"Ibas Provider of data recovery, data erasure and computer forensics, with headquarters in Norway, offices in a number of other European countries and in the United States. Subsidiary of Kroll Ontrack. ",Security
4182,Organic Pixels Graphic Design Store Collection of books and software that is useful to professional graphic designers everything from theory to business practices. ,Graphics
7754,"Sie-H20-Bots (Team 237) Located in Watertown, Connecticut. Gallery, news, links, and forums. ",Robotics
